series	cos_mean	cos_min	verdict	sample_file
Jaku-Chara Tomozaki-kun (Bottom-Tier Character Tomozaki)	0.7604	0.7558	CORRUPT	Jaku-Chara Tomozaki-kun (Bottom-Tier Character Tomozaki)/S01E01-Say what you want famous games are usually fun [41F85E85].mp4
Jingai Kyoushitsu no Ningengirai Kyoushi (A Misanthrope Teaches a Class for Demi-Humans)	0.7476	0.7449	CORRUPT	Jingai Kyoushitsu no Ningengirai Kyoushi (A Misanthrope Teaches a Class for Demi-Humans)/[Judas] Jingai - S01E01v2.mp4
Joshikousei no Mudazukai (Wasteful Days of High School Girl)	0.8196	0.8114	CORRUPT	Joshikousei no Mudazukai (Wasteful Days of High School Girl)/Wasteful Days of High School Girl - S01E01.mp4
Kai Byoui Ramune (Dr. Ramune - Mysterious Disease Specialist)	0.7892	0.7863	CORRUPT	Kai Byoui Ramune (Dr. Ramune - Mysterious Disease Specialist)/[ASW] Kai Byoui Ramune - S01E01 [1080p HEVC].mp4
Kakkou no Iinazuke (A Couple of Cuckoos)	0.8038	0.7923	CORRUPT	Kakkou no Iinazuke (A Couple of Cuckoos)/A Couple of Cuckoos - S01E01.mp4
Kami no Niwatsuki Kusunoki-tei (Kusunoki's Garden of Gods)	0.7685	0.7659	CORRUPT	Kami no Niwatsuki Kusunoki-tei (Kusunoki's Garden of Gods)/[ASW] Kami no Niwatsuki Kusunoki-tei - 02 [1080p HEVC][D1FDA4A6].mp4
Katsute Kami Datta Kemono-tachi e (To The Abandoned Sacred Beasts)	0.8038	0.7862	CORRUPT	Katsute Kami Datta Kemono-tachi e (To The Abandoned Sacred Beasts)/[Judas] Katsute Kami Datta Kemono-tachi e - 01.mp4
Kill Ao (Kill Blue)	0.8349	0.8247	CORRUPT	Kill Ao (Kill Blue)/KILL BLUE S01E01 MULTi 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws.mp4
Kill Blue	0.7607	0.7434	CORRUPT	Kill Blue/KILL BLUE S01E04 SUBFRENCH 1080p NF WEB-DL AAC2.0 x264-Tsundere-Raws.mp4
Koukyuu no Karasu (Raven of the Inner Palace)	0.8358	0.8329	CORRUPT	Koukyuu no Karasu (Raven of the Inner Palace)/S01E01-The Jade Earring Part 1 [E56AC438].mp4
Love After World Domination	0.7478	0.7454	CORRUPT	Love After World Domination/S01E01-I Love You [67CF8886].mp4
Love Flops	NA	NA	NO_SAMPLE_FILE	-
Magic Maker Isekai Mahou no Tsukurikata (Magic Maker How to Make Magic in Another World)	0.7727	0.7637	CORRUPT	Magic Maker Isekai Mahou no Tsukurikata (Magic Maker How to Make Magic in Another World)/[Judas] Magic Maker - S01E01.mp4
Mahou Shoujo Site (Magical Girl Site)	0.8024	0.7870	CORRUPT	Mahou Shoujo Site (Magical Girl Site)/[Drake] Mahou Shoujo Site - 01 [BD][1080p][FLAC][4B7AB1E3].mp4
Mahou Tsukai no Yome (The Ancient Magus' Bride)	NA	NA	NO_SAMPLE_FILE	-
Majutsushi Kunon wa Mieteiru (Kunon the Sorcerer Can See)	0.7616	0.7570	CORRUPT	Majutsushi Kunon wa Mieteiru (Kunon the Sorcerer Can See)/[Judas] Majutsushi Kunon - S01E01.mp4
Make Heroine ga Oosugiru! (Makeine Too Many Losing Heroines)	0.7620	0.7543	CORRUPT	Make Heroine ga Oosugiru! (Makeine Too Many Losing Heroines)/S01E01-Professional Childhood Friend Yanami Anna s Style of Losing [FAEAF7E6].mp4
Mamahaha no Tsurego ga Motokano Datta (My Stepmom's Daughter is My Ex)	NA	NA	NO_SAMPLE_FILE	-
Mashle	NA	NA	NO_SAMPLE_FILE	-
Mecha-Ude	0.8200	0.8157	CORRUPT	Mecha-Ude/[EMBER] Mecha-ude - 01.mp4
Mugen Gacha (Backstabbed in a Backwater Dungeon)	NA	NA	NO_SAMPLE_FILE	-
Musaigen no Phantom World (Myriad Colors Phantom World)	0.7487	0.7448	CORRUPT	Musaigen no Phantom World (Myriad Colors Phantom World)/Myriad Colors Phantom World - S00E01 - Limitless Phantom World - Countermeasure 1.mp4
Mushoku no Eiyuu (Hero Without A Class)	NA	NA	NO_SAMPLE_FILE	-
Nageki no Bourei wa Intai shitai (Let this grieving soul retire)	0.8539	0.8510	CORRUPT	Nageki no Bourei wa Intai shitai (Let this grieving soul retire)/[EMBER] Nageki no Bourei wa Intai shitai - 01.mp4
Neko to Ryuu (The Cat and the Dragon)	0.7541	0.7401	CORRUPT	Neko to Ryuu (The Cat and the Dragon)/[Judas] Neko to Ryuu - S01E01.mp4
Nozomanu Fushi no Boukensha (The Unwanted Undead Adventurer)	0.8142	0.8052	CORRUPT	Nozomanu Fushi no Boukensha (The Unwanted Undead Adventurer)/[Judas] TUUA - S01E01v2.mp4
